disease_id:ID(Disease),name
D00001,0401
D00002,1 and elejalde disease
D00003,1 and tuberous sclerosis
D00004,1 and wolfram syndrome
D00005,1 plasminogen deficiency
D00006,1 von willebrand disease
D00007,"1, autosomal recessive"
D00008,11-beta hydroxylase deficiency
D00009,11-beta-hydroxylase deficiency
D00010,11q terminal deletion disorder
D00011,15q11.2 microdeletion
D00012,15q13.3 microdeletion
D00013,15q13.3 microdeletion have learning difficulties
D00014,15q13.3 microdeletion syndrome
D00015,15q13.3 microduplication syndrome
D00016,15q24 deletion syndrome
D00017,15q24 microdeletion
D00018,16p11.2 deletion syndrome
D00019,16p11.2 recurrent microdeletion - genetic testing registry
D00020,16q24.3 microdeletion syndrome
D00021,17-alpha-hydroxylase deficiency
D00022,"17-hydroxylase/17,20-lyase deficiency"
D00023,17p13.1 deletion syndrome
D00024,17q21.31 microdeletion syndrome
D00025,17q23.1q23.2 microdeletion syndrome
D00026,17q23.2q23.2 microdeletion syndrome
D00027,18q deletion syndrome
D00028,19p13.12 microdeletion syndrome
D00029,1p36 deletion syndrome
D00030,1q21.1 microdeletion
D00031,1q21.1 microdeletion syndrome
D00032,1q21.1 microdeletions
D00033,1q21.1 recurrent microdeletion
D00034,1q44 microdeletion syndrome
D00035,"2,8-dihydroxyadenine"
D00036,2-methyl-3-hydroxybutyric aciduria
D00037,2009 q fever
D00038,20210g
D00039,20p12.3 microdeletion syndrome
D00040,21-hydroxylase damages
D00041,21-hydroxylase deficiency
D00042,21-hydroxylase-deficiency
D00043,21-hydroxylase-deficient
D00044,21-hydroxylase-deficient congenital adrenal hyperplasia
D00045,22-niams
D00046,22q11 microdeletion syndrome
D00047,22q11.2
D00048,22q11.2 deletion syndrome
D00049,22q11.2 duplication syndrome
D00050,22q11.2 microdeletion syndrome
D00051,22q13.3 deletion syndrome
D00052,2q37 deletion syndrome
D00053,2q37 microdeletion syndrome
D00054,3 (eec3
D00055,3 von willebrand disease
D00056,3-beta-hydroxysteroid dehydrogenase deficiency
D00057,3-hsd deficiency
D00058,3-hydroxyisobutyric aciduria
D00059,3-m syndrome
D00060,3-mcc
D00061,3-mcc deficiency
D00062,3-methylglutaconic acid
D00063,3-methylglutaconic aciduria
D00064,3-methylglutaconic aciduria - autosomal recessive inheritance - congenital cataract - easy fatigability - exercise intolerance - exercise-induced lactic acidemia - fatigue - growth delay - increased serum
D00065,3-methylglutaconic aciduria type 2 - johns hopkins children's center: neutrophil disorders - medlineplus encyclopedia
D00066,3-methylglutaconic aciduria type 3 - medlineplus encyclopedia: optic nerve atrophy
D00067,3-methylglutaconic aciduria type v - medlineplus encyclopedia
D00068,3-methylglutaconyl-coa hydratase deficiency
D00069,3-methylglutaric aciduria - autosomal recessive inheritance - congestive heart failure
D00070,3-methylglutaric aciduria - complex organic aciduria - failure to thrive - lactic acidosis - metabolic acidosis
D00071,30s.2 iga nephropathy
D00072,3mc syndrome
D00073,3p deletion syndrome
D00074,3p- syndrome
D00075,4-hydroxyphenylpyruvate dioxygenase deficiency
D00076,"46,xx testicular disorder"
D00077,"46,xy karyotype - growth abnormality"
D00078,"46,xy/47,xxy"
D00079,47 xxx syndrome
D00080,"47,xyy syndrome"
D00081,"48,xxxy"
D00082,"48,xxyy"
D00083,"48,xxyy syndrome"
D00084,"49,xxxxx syndrome"
D00085,"49,xxxxy"
D00086,5-alpha reductase deficiency
D00087,5-oxoprolinuria
D00088,5q minus syndrome
D00089,5q- syndrome
D00090,5q-) syndrome
D00091,5q14.3 microdeletion syndrome
D00092,6q24-related
D00093,6q25 microdeletion syndrome
D00094,"76,690"
D00095,7q11.23 duplication syndrome
D00096,8p11 myeloproliferative syndrome
D00097,8q12 microduplication syndrome
D00098,9q22.3 microdeletion
D00099,9q22.3 microdeletions
D00100,a bowel blockage
D00101,a bowel disease
D00102,a bowel obstruction
D00103,a disability
D00104,a gastrinoma
D00105,a reduced desire
D00106,a stroke
D00107,a-t
D00108,a. allogeneic bone marrow transplantation in mevalonic aciduria
D00109,a. aniridia
D00110,a. cantonensis infection
D00111,a. cantonensis infections
D00112,a. costaricensis infections
D00113,a. phagocytophilum infection
D00114,aaa
D00115,aaa ruptures
D00116,aaas
D00117,aadc deficiency
D00118,aarskog syndrome
D00119,aarskog-scott syndrome
D00120,aat deficiency
D00121,aatd
D00122,abca3 deficiency
D00123,abdominal adhesions
D00124,abdominal and facial angioedema attacks
D00125,abdominal and pelvic pain
D00126,abdominal aortic aneurysm
D00127,abdominal aortic aneurysms
D00128,abdominal bleeding
D00129,abdominal bloating
D00130,abdominal bruit
D00131,abdominal cancers
D00132,abdominal cramping
D00133,abdominal cramps
D00134,abdominal desmoid tumors
D00135,abdominal disease
D00136,abdominal distention
D00137,abdominal hysterectomy
D00138,abdominal infection
D00139,abdominal infections
D00140,abdominal lymphoma
D00141,abdominal mass hepatomegaly
D00142,abdominal migraine
D00143,abdominal muscle
D00144,abdominal muscle agenesis
D00145,abdominal obesity
D00146,abdominal obesity - abnormal fear/anxiety-related behavior
D00147,abdominal obesity - clinodactyly - decreased fetal movement - dolichocephaly - generalized hypopigmentation - hyperinsulinemia - hypermetropia - hypoventilation - poor gross motor coordination - sporadic - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
D00148,abdominal or chest pain
D00149,abdominal or pelvic pain
D00150,abdominal pain
D00151,abdominal pain - abnormality of the thorax - anemia - ataxia - autosomal dominant inheritance - bone pain - diarrhea - elevated urinary dopamine - elevated urinary homovanillic acid
D00152,abdominal pain - areflexia - autosomal recessive inheritance - cachexia - constipation - death
D00153,abdominal pain - autosomal dominant inheritance
D00154,abdominal pain - autosomal recessive inheritance
D00155,abdominal pain - autosomal recessive inheritance - chronic constipation - diarrhea - hypertrophic cardiomyopathy - ketosis - lactic acidosis - metabolic acidosis - short stature - vomiting - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
D00156,abdominal pain - diarrhea - growth delay - heterogeneous - intestinal obstruction
D00157,abdominal pain rheumatic heart disease
D00158,abdominal pain weight loss
D00159,abdominal situs inversus
D00160,abdominal situs inversus - asplenia - dextrocardia - patent ductus arteriosus - polysplenia - pulmonic stenosis - ventricular septal defect - x-linked inheritance - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
D00161,abdominal surgeryperforms hernia
D00162,abdominal swelling
D00163,abdominal tenderness
D00164,abdominal trauma
