question_id:ID(Question),text
Q00001,What is (are) Glaucoma ?
Q00002,What causes Glaucoma ?
Q00003,What are the symptoms of Glaucoma ?
Q00004,What are the treatments for Glaucoma ?
Q00005,What is (are) Glaucoma ?
Q00006,What is (are) Glaucoma ?
Q00007,What is (are) Glaucoma ?
Q00008,Who is at risk for Glaucoma? ?
Q00009,How to prevent Glaucoma ?
Q00010,What are the symptoms of Glaucoma ?
Q00011,What are the treatments for Glaucoma ?
Q00012,what research (or clinical trials) is being done for Glaucoma ?
Q00013,Who is at risk for Glaucoma? ?
Q00014,What is (are) Glaucoma ?
Q00015,What is (are) High Blood Pressure ?
Q00016,What causes High Blood Pressure ?
Q00017,Who is at risk for High Blood Pressure? ?
Q00018,How to prevent High Blood Pressure ?
Q00019,What are the symptoms of High Blood Pressure ?
Q00020,What is (are) High Blood Pressure ?
Q00021,What is (are) High Blood Pressure ?
Q00022,What is (are) High Blood Pressure ?
Q00023,What is (are) High Blood Pressure ?
Q00024,How to prevent High Blood Pressure ?
Q00025,How to diagnose High Blood Pressure ?
Q00026,What are the treatments for High Blood Pressure ?
Q00027,What are the treatments for High Blood Pressure ?
Q00028,What are the treatments for High Blood Pressure ?
Q00029,How to prevent High Blood Pressure ?
Q00030,What is (are) High Blood Pressure ?
Q00031,What is (are) High Blood Pressure ?
Q00032,What is (are) High Blood Pressure ?
Q00033,What is (are) High Blood Pressure ?
Q00034,What is (are) Paget's Disease of Bone ?
Q00035,What are the symptoms of Paget's Disease of Bone ?
Q00036,How to diagnose Paget's Disease of Bone ?
Q00037,What are the treatments for Paget's Disease of Bone ?
Q00038,What is (are) Paget's Disease of Bone ?
Q00039,What are the symptoms of Paget's Disease of Bone ?
Q00040,What are the complications of Paget's Disease of Bone ?
Q00041,How to diagnose Paget's Disease of Bone ?
Q00042,What are the treatments for Paget's Disease of Bone ?
Q00043,What are the treatments for Paget's Disease of Bone ?
Q00044,What is (are) Urinary Tract Infections ?
Q00045,What causes Urinary Tract Infections ?
Q00046,What are the symptoms of Urinary Tract Infections ?
Q00047,How to prevent Urinary Tract Infections ?
Q00048,What is (are) Urinary Tract Infections ?
Q00049,What are the symptoms of Urinary Tract Infections ?
Q00050,Who is at risk for Urinary Tract Infections? ?
Q00051,How to prevent Urinary Tract Infections ?
Q00052,What are the treatments for Urinary Tract Infections ?
Q00053,What is (are) Alcohol Use and Older Adults ?
Q00054,What is (are) Alcohol Use and Older Adults ?
Q00055,What are the symptoms of Alcohol Use and Older Adults ?
Q00056,What is (are) Alcohol Use and Older Adults ?
Q00057,What are the treatments for Alcohol Use and Older Adults ?
Q00058,What are the treatments for Alcohol Use and Older Adults ?
Q00059,What are the treatments for Alcohol Use and Older Adults ?
Q00060,Where to find support for people with Alcohol Use and Older Adults ?
Q00061,What is (are) Alcohol Use and Older Adults ?
Q00062,What are the treatments for Alcohol Use and Older Adults ?
Q00063,What are the treatments for Alcohol Use and Older Adults ?
Q00064,What is (are) Osteoarthritis ?
Q00065,What causes Osteoarthritis ?
Q00066,What are the symptoms of Osteoarthritis ?
Q00067,What are the treatments for Osteoarthritis ?
Q00068,What is (are) Osteoarthritis ?
Q00069,How many people are affected by Osteoarthritis ?
Q00070,What causes Osteoarthritis ?
Q00071,What are the symptoms of Osteoarthritis ?
Q00072,How to diagnose Osteoarthritis ?
Q00073,What are the treatments for Osteoarthritis ?
Q00074,What are the treatments for Osteoarthritis ?
Q00075,What are the treatments for Osteoarthritis ?
Q00076,What are the treatments for Osteoarthritis ?
Q00077,What is (are) Problems with Taste ?
Q00078,What causes Problems with Taste ?
Q00079,What are the symptoms of Problems with Taste ?
Q00080,What are the treatments for Problems with Taste ?
Q00081,what research (or clinical trials) is being done for Problems with Taste ?
Q00082,What is (are) Problems with Taste ?
Q00083,How many people are affected by Problems with Taste ?
Q00084,What causes Problems with Taste ?
Q00085,How to prevent Problems with Taste ?
Q00086,What causes Problems with Taste ?
Q00087,How to diagnose Problems with Taste ?
Q00088,What are the treatments for Problems with Taste ?
Q00089,What is (are) Problems with Taste ?
Q00090,what research (or clinical trials) is being done for Problems with Taste ?
Q00091,What is (are) Anxiety Disorders ?
Q00092,What are the symptoms of Anxiety Disorders ?
Q00093,How to diagnose Anxiety Disorders ?
Q00094,what research (or clinical trials) is being done for Anxiety Disorders ?
Q00095,How many people are affected by Anxiety Disorders ?
Q00096,What is (are) Anxiety Disorders ?
Q00097,What is (are) Anxiety Disorders ?
Q00098,What is (are) Anxiety Disorders ?
Q00099,What is (are) Anxiety Disorders ?
Q00100,Who is at risk for Anxiety Disorders? ?
Q00101,What are the treatments for Anxiety Disorders ?
Q00102,What is (are) Anxiety Disorders ?
Q00103,What are the treatments for Anxiety Disorders ?
Q00104,What is (are) Diabetes ?
Q00105,Who is at risk for Diabetes? ?
Q00106,How to prevent Diabetes ?
Q00107,What are the symptoms of Diabetes ?
Q00108,What are the treatments for Diabetes ?
Q00109,What is (are) Diabetes ?
Q00110,What is (are) Diabetes ?
Q00111,What is (are) Diabetes ?
Q00112,What is (are) Diabetes ?
Q00113,What are the symptoms of Diabetes ?
Q00114,What causes Diabetes ?
Q00115,What are the treatments for Diabetes ?
Q00116,Who is at risk for Diabetes? ?
Q00117,How to prevent Diabetes ?
Q00118,What are the treatments for Diabetes ?
Q00119,What is (are) Diabetes ?
Q00120,What are the treatments for Diabetes ?
Q00121,What is (are) Diabetes ?
Q00122,How to prevent Diabetes ?
Q00123,What is (are) Medicare and Continuing Care ?
Q00124,What is (are) Medicare and Continuing Care ?
Q00125,What is (are) Medicare and Continuing Care ?
Q00126,What is (are) Medicare and Continuing Care ?
Q00127,What is (are) Medicare and Continuing Care ?
Q00128,What is (are) Medicare and Continuing Care ?
Q00129,What is (are) Medicare and Continuing Care ?
Q00130,What is (are) Medicare and Continuing Care ?
Q00131,What is (are) Medicare and Continuing Care ?
Q00132,What is (are) Medicare and Continuing Care ?
Q00133,What is (are) Medicare and Continuing Care ?
Q00134,What to do for Medicare and Continuing Care ?
Q00135,What is (are) Medicare and Continuing Care ?
Q00136,What is (are) Medicare and Continuing Care ?
Q00137,What is (are) Medicare and Continuing Care ?
Q00138,What is (are) Knee Replacement ?
Q00139,What are the complications of Knee Replacement ?
Q00140,What is the outlook for Knee Replacement ?
Q00141,What is (are) Knee Replacement ?
Q00142,What are the treatments for Knee Replacement ?
Q00143,What is (are) Knee Replacement ?
Q00144,What is (are) Knee Replacement ?
Q00145,What are the complications of Knee Replacement ?
Q00146,What are the complications of Knee Replacement ?
Q00147,Who is at risk for Knee Replacement? ?
Q00148,What is (are) Knee Replacement ?
Q00149,What is (are) Balance Problems ?
Q00150,How to prevent Balance Problems ?
Q00151,What are the symptoms of Balance Problems ?
Q00152,What are the treatments for Balance Problems ?
Q00153,What is (are) Balance Problems ?
Q00154,How many people are affected by Balance Problems ?
Q00155,What are the symptoms of Balance Problems ?
Q00156,What is (are) Balance Problems ?
Q00157,What causes Balance Problems ?
Q00158,What causes Balance Problems ?
Q00159,How to prevent Balance Problems ?
Q00160,What is (are) Balance Problems ?
Q00161,What are the treatments for Balance Problems ?
Q00162,What are the treatments for Balance Problems ?
Q00163,How to prevent Balance Problems ?
Q00164,What is (are) Quitting Smoking for Older Adults ?
