:START_ID(Question),:END_ID(Chemical),:TYPE
Q00003,C00694,QUESTION_HAS_CHEMICAL
Q00016,C00226,QUESTION_HAS_CHEMICAL
Q00016,C00135,QUESTION_HAS_CHEMICAL
Q00016,C00747,QUESTION_HAS_CHEMICAL
Q00016,C01775,QUESTION_HAS_CHEMICAL
Q00016,C00143,QUESTION_HAS_CHEMICAL
Q00016,C01845,QUESTION_HAS_CHEMICAL
Q00016,C01598,QUESTION_HAS_CHEMICAL
Q00017,C01598,QUESTION_HAS_CHEMICAL
Q00017,C01775,QUESTION_HAS_CHEMICAL
Q00017,C00135,QUESTION_HAS_CHEMICAL
Q00017,C01845,QUESTION_HAS_CHEMICAL
Q00018,C01842,QUESTION_HAS_CHEMICAL
Q00018,C01776,QUESTION_HAS_CHEMICAL
Q00018,C00135,QUESTION_HAS_CHEMICAL
Q00018,C01775,QUESTION_HAS_CHEMICAL
Q00018,C01475,QUESTION_HAS_CHEMICAL
Q00018,C01348,QUESTION_HAS_CHEMICAL
Q00018,C01334,QUESTION_HAS_CHEMICAL
Q00018,C01845,QUESTION_HAS_CHEMICAL
Q00018,C00485,QUESTION_HAS_CHEMICAL
Q00019,C01842,QUESTION_HAS_CHEMICAL
Q00019,C01475,QUESTION_HAS_CHEMICAL
Q00024,C01775,QUESTION_HAS_CHEMICAL
Q00024,C01845,QUESTION_HAS_CHEMICAL
Q00025,C02217,QUESTION_HAS_CHEMICAL
Q00028,C00228,QUESTION_HAS_CHEMICAL
Q00028,C00227,QUESTION_HAS_CHEMICAL
Q00028,C00391,QUESTION_HAS_CHEMICAL
Q00028,C00229,QUESTION_HAS_CHEMICAL
Q00028,C01845,QUESTION_HAS_CHEMICAL
Q00031,C01775,QUESTION_HAS_CHEMICAL
Q00031,C00485,QUESTION_HAS_CHEMICAL
Q00032,C01776,QUESTION_HAS_CHEMICAL
Q00032,C01775,QUESTION_HAS_CHEMICAL
Q00032,C01348,QUESTION_HAS_CHEMICAL
Q00032,C01334,QUESTION_HAS_CHEMICAL
Q00032,C01845,QUESTION_HAS_CHEMICAL
Q00033,C01775,QUESTION_HAS_CHEMICAL
Q00033,C01845,QUESTION_HAS_CHEMICAL
Q00037,C00391,QUESTION_HAS_CHEMICAL
Q00037,C01739,QUESTION_HAS_CHEMICAL
Q00037,C00144,QUESTION_HAS_CHEMICAL
Q00037,C02182,QUESTION_HAS_CHEMICAL
Q00037,C00344,QUESTION_HAS_CHEMICAL
