:START_ID(Question),:END_ID(Disease),:TYPE
Q00001,D06857,QUESTION_HAS_DISEASE
Q00001,D16437,QUESTION_HAS_DISEASE
Q00001,D09922,QUESTION_HAS_DISEASE
Q00001,D11972,QUESTION_HAS_DISEASE
Q00001,D02722,QUESTION_HAS_DISEASE
Q00001,D11973,QUESTION_HAS_DISEASE
Q00002,D06857,QUESTION_HAS_DISEASE
Q00002,D02722,QUESTION_HAS_DISEASE
Q00003,D06857,QUESTION_HAS_DISEASE
Q00003,D06862,QUESTION_HAS_DISEASE
Q00003,D11972,QUESTION_HAS_DISEASE
Q00003,D12258,QUESTION_HAS_DISEASE
Q00004,D06857,QUESTION_HAS_DISEASE
Q00004,D11972,QUESTION_HAS_DISEASE
Q00004,D06861,QUESTION_HAS_DISEASE
Q00005,D06857,QUESTION_HAS_DISEASE
Q00005,D16437,QUESTION_HAS_DISEASE
Q00005,D11972,QUESTION_HAS_DISEASE
Q00005,D02722,QUESTION_HAS_DISEASE
Q00007,D06857,QUESTION_HAS_DISEASE
Q00007,D11973,QUESTION_HAS_DISEASE
Q00007,D11972,QUESTION_HAS_DISEASE
Q00008,D06857,QUESTION_HAS_DISEASE
Q00009,D06857,QUESTION_HAS_DISEASE
Q00009,D10098,QUESTION_HAS_DISEASE
Q00010,D12258,QUESTION_HAS_DISEASE
Q00010,D06857,QUESTION_HAS_DISEASE
Q00010,D11972,QUESTION_HAS_DISEASE
Q00011,D06857,QUESTION_HAS_DISEASE
Q00011,D11972,QUESTION_HAS_DISEASE
Q00012,D06857,QUESTION_HAS_DISEASE
Q00012,D06861,QUESTION_HAS_DISEASE
Q00013,D06857,QUESTION_HAS_DISEASE
Q00014,D06857,QUESTION_HAS_DISEASE
Q00015,D09321,QUESTION_HAS_DISEASE
Q00015,D08069,QUESTION_HAS_DISEASE
Q00015,D15081,QUESTION_HAS_DISEASE
Q00015,D01024,QUESTION_HAS_DISEASE
Q00015,D05070,QUESTION_HAS_DISEASE
Q00015,D07279,QUESTION_HAS_DISEASE
Q00015,D07226,QUESTION_HAS_DISEASE
Q00015,D13238,QUESTION_HAS_DISEASE
Q00015,D03900,QUESTION_HAS_DISEASE
Q00016,D15936,QUESTION_HAS_DISEASE
Q00016,D01414,QUESTION_HAS_DISEASE
Q00016,D03900,QUESTION_HAS_DISEASE
Q00016,D14523,QUESTION_HAS_DISEASE
Q00017,D00777,QUESTION_HAS_DISEASE
Q00018,D16613,QUESTION_HAS_DISEASE
Q00018,D08069,QUESTION_HAS_DISEASE
Q00018,D12227,QUESTION_HAS_DISEASE
Q00018,D15081,QUESTION_HAS_DISEASE
Q00018,D12733,QUESTION_HAS_DISEASE
Q00018,D05070,QUESTION_HAS_DISEASE
Q00018,D07274,QUESTION_HAS_DISEASE
Q00018,D03180,QUESTION_HAS_DISEASE
Q00019,D12515,QUESTION_HAS_DISEASE
Q00019,D07279,QUESTION_HAS_DISEASE
Q00019,D12335,QUESTION_HAS_DISEASE
Q00019,D03688,QUESTION_HAS_DISEASE
Q00019,D02722,QUESTION_HAS_DISEASE
Q00019,D08069,QUESTION_HAS_DISEASE
Q00019,D11777,QUESTION_HAS_DISEASE
Q00019,D16578,QUESTION_HAS_DISEASE
Q00019,D15191,QUESTION_HAS_DISEASE
Q00019,D07327,QUESTION_HAS_DISEASE
Q00019,D10326,QUESTION_HAS_DISEASE
Q00019,D01021,QUESTION_HAS_DISEASE
Q00019,D06463,QUESTION_HAS_DISEASE
Q00019,D12258,QUESTION_HAS_DISEASE
Q00019,D01024,QUESTION_HAS_DISEASE
Q00019,D14343,QUESTION_HAS_DISEASE
Q00019,D15081,QUESTION_HAS_DISEASE
Q00019,D04611,QUESTION_HAS_DISEASE
Q00023,D13238,QUESTION_HAS_DISEASE
Q00023,D03900,QUESTION_HAS_DISEASE
Q00023,D05070,QUESTION_HAS_DISEASE
Q00024,D08069,QUESTION_HAS_DISEASE
Q00025,D00813,QUESTION_HAS_DISEASE
Q00027,D03900,QUESTION_HAS_DISEASE
Q00027,D05070,QUESTION_HAS_DISEASE
Q00028,D00373,QUESTION_HAS_DISEASE
Q00029,D07274,QUESTION_HAS_DISEASE
Q00029,D05649,QUESTION_HAS_DISEASE
Q00029,D15191,QUESTION_HAS_DISEASE
Q00030,D08069,QUESTION_HAS_DISEASE
Q00031,D08069,QUESTION_HAS_DISEASE
Q00034,D12249,QUESTION_HAS_DISEASE
Q00034,D07241,QUESTION_HAS_DISEASE
Q00034,D12258,QUESTION_HAS_DISEASE
Q00034,D12130,QUESTION_HAS_DISEASE
Q00034,D07226,QUESTION_HAS_DISEASE
Q00034,D01358,QUESTION_HAS_DISEASE
Q00034,D12251,QUESTION_HAS_DISEASE
Q00034,D07612,QUESTION_HAS_DISEASE
Q00035,D06526,QUESTION_HAS_DISEASE
Q00035,D06529,QUESTION_HAS_DISEASE
Q00035,D12069,QUESTION_HAS_DISEASE
Q00035,D16600,QUESTION_HAS_DISEASE
Q00035,D12258,QUESTION_HAS_DISEASE
Q00035,D11508,QUESTION_HAS_DISEASE
Q00035,D12137,QUESTION_HAS_DISEASE
Q00035,D01358,QUESTION_HAS_DISEASE
Q00035,D02828,QUESTION_HAS_DISEASE
Q00035,D12251,QUESTION_HAS_DISEASE
Q00036,D01358,QUESTION_HAS_DISEASE
Q00036,D12251,QUESTION_HAS_DISEASE
Q00036,D06526,QUESTION_HAS_DISEASE
Q00037,D16613,QUESTION_HAS_DISEASE
Q00037,D12258,QUESTION_HAS_DISEASE
Q00037,D12130,QUESTION_HAS_DISEASE
Q00037,D12254,QUESTION_HAS_DISEASE
Q00037,D01358,QUESTION_HAS_DISEASE
Q00037,D12252,QUESTION_HAS_DISEASE
Q00037,D12251,QUESTION_HAS_DISEASE
Q00038,D12251,QUESTION_HAS_DISEASE
Q00039,D12251,QUESTION_HAS_DISEASE
Q00039,D12258,QUESTION_HAS_DISEASE
Q00040,D07241,QUESTION_HAS_DISEASE
Q00040,D12137,QUESTION_HAS_DISEASE
Q00040,D07226,QUESTION_HAS_DISEASE
Q00040,D01358,QUESTION_HAS_DISEASE
Q00040,D02828,QUESTION_HAS_DISEASE
Q00040,D12251,QUESTION_HAS_DISEASE
Q00041,D12251,QUESTION_HAS_DISEASE
Q00042,D12258,QUESTION_HAS_DISEASE
Q00043,D01358,QUESTION_HAS_DISEASE
Q00043,D12251,QUESTION_HAS_DISEASE
Q00043,D12258,QUESTION_HAS_DISEASE
Q00044,D14271,QUESTION_HAS_DISEASE
Q00044,D13629,QUESTION_HAS_DISEASE
Q00044,D16201,QUESTION_HAS_DISEASE
Q00044,D09326,QUESTION_HAS_DISEASE
Q00044,D00688,QUESTION_HAS_DISEASE
Q00044,D16202,QUESTION_HAS_DISEASE
Q00044,D16135,QUESTION_HAS_DISEASE
Q00044,D08719,QUESTION_HAS_DISEASE
Q00044,D04800,QUESTION_HAS_DISEASE
Q00044,D09325,QUESTION_HAS_DISEASE
Q00044,D08725,QUESTION_HAS_DISEASE
Q00045,D11395,QUESTION_HAS_DISEASE
Q00045,D04492,QUESTION_HAS_DISEASE
Q00045,D13424,QUESTION_HAS_DISEASE
Q00045,D16201,QUESTION_HAS_DISEASE
Q00045,D12697,QUESTION_HAS_DISEASE
Q00045,D05070,QUESTION_HAS_DISEASE
Q00045,D09334,QUESTION_HAS_DISEASE
Q00045,D16202,QUESTION_HAS_DISEASE
Q00045,D13431,QUESTION_HAS_DISEASE
Q00045,D16168,QUESTION_HAS_DISEASE
Q00045,D02642,QUESTION_HAS_DISEASE
Q00045,D08719,QUESTION_HAS_DISEASE
Q00046,D00150,QUESTION_HAS_DISEASE
Q00046,D03747,QUESTION_HAS_DISEASE
Q00046,D04268,QUESTION_HAS_DISEASE
Q00046,D15189,QUESTION_HAS_DISEASE
Q00046,D04270,QUESTION_HAS_DISEASE
Q00046,D12258,QUESTION_HAS_DISEASE
Q00046,D11240,QUESTION_HAS_DISEASE
Q00046,D06806,QUESTION_HAS_DISEASE
Q00046,D16487,QUESTION_HAS_DISEASE
Q00046,D16202,QUESTION_HAS_DISEASE
Q00046,D06379,QUESTION_HAS_DISEASE
Q00046,D08719,QUESTION_HAS_DISEASE
Q00046,D10895,QUESTION_HAS_DISEASE
Q00046,D16167,QUESTION_HAS_DISEASE
Q00047,D07274,QUESTION_HAS_DISEASE
Q00047,D16202,QUESTION_HAS_DISEASE
Q00047,D08725,QUESTION_HAS_DISEASE
Q00047,D09321,QUESTION_HAS_DISEASE
Q00048,D08725,QUESTION_HAS_DISEASE
Q00048,D16168,QUESTION_HAS_DISEASE
Q00048,D13629,QUESTION_HAS_DISEASE
Q00048,D16201,QUESTION_HAS_DISEASE
Q00048,D16202,QUESTION_HAS_DISEASE
Q00048,D16135,QUESTION_HAS_DISEASE
Q00048,D08719,QUESTION_HAS_DISEASE
Q00048,D04800,QUESTION_HAS_DISEASE
Q00049,D00150,QUESTION_HAS_DISEASE
Q00049,D03747,QUESTION_HAS_DISEASE
Q00049,D04268,QUESTION_HAS_DISEASE
Q00049,D15189,QUESTION_HAS_DISEASE
Q00049,D04270,QUESTION_HAS_DISEASE
Q00049,D12258,QUESTION_HAS_DISEASE
Q00049,D11240,QUESTION_HAS_DISEASE
